Date,Symbol,Open,High,Low,Close,Volume
2019-07-08 00:00:00-04:00,TZA,322.5163810889949,330.54344780755076,320.79628169356386,328.3216857910156,191225
2019-07-09 00:00:00-04:00,TZA,332.9085644270744,333.2669104757047,327.31826217624723,327.6049499511719,165913
2019-07-10 00:00:00-04:00,TZA,322.3730607200138,331.1168475497783,320.2229568238574,325.813232421875,254950
2019-07-11 00:00:00-04:00,TZA,324.3797649109248,335.1303098824409,324.3081066407365,331.04510498046875,286663
2019-07-12 00:00:00-04:00,TZA,329.32508613067534,331.11684391447653,319.7929215976269,323.23309326171875,312850
2019-07-15 00:00:00-04:00,TZA,320.5096100406252,331.1168118115158,320.3662661510123,328.8233642578125,180088
2019-07-16 00:00:00-04:00,TZA,329.3967517565574,332.40691911728555,322.73141046500365,328.4650573730469,251088
2019-07-17 00:00:00-04:00,TZA,328.6800153893978,338.3554954012674,328.2499837270732,335.7753601074219,229988
2019-07-18 00:00:00-04:00,TZA,336.3487242504714,338.6421716916553,330.25675961108595,332.2635192871094,285325
2019-07-19 00:00:00-04:00,TZA,330.7584161903496,337.9971038206827,327.81993524377214,337.9254455566406,222350
2019-07-22 00:00:00-04:00,TZA,335.70371315589273,340.8639839176224,332.55022954597564,339.35888671875,361750
2019-07-23 00:00:00-04:00,TZA,335.2019638987225,340.21888988057714,332.4068268439877,332.4784851074219,372100
2019-07-24 00:00:00-04:00,TZA,334.98696533208226,336.34869107219555,314.9192611911763,315.8509826660156,480788
2019-07-25 00:00:00-04:00,TZA,316.496023496562,329.25332733312916,316.42436523075963,327.8916015625,338400
2019-07-26 00:00:00-04:00,TZA,326.24320335191214,326.8165515253697,314.8476247514328,316.2093505859375,318563
2019-07-29 00:00:00-04:00,TZA,316.4244169343551,325.8848952888905,315.277693113807,322.73138427734375,347738
2019-07-30 00:00:00-04:00,TZA,329.3966804749024,331.6901278057943,312.2674837610319,312.41082763671875,344825
2019-07-31 00:00:00-04:00,TZA,312.4824762773483,325.7414972993755,304.0253792527185,319.72119140625,430488
2019-08-01 00:00:00-04:00,TZA,318.07279397029646,337.9254700337247,310.2607303015832,334.0552673339844,661413
2019-08-02 00:00:00-04:00,TZA,340.0755639194991,353.4779017712251,337.49542885926337,345.4508361816406,830025
2019-08-05 00:00:00-04:00,TZA,364.228466403061,388.238006230075,363.2967448376397,375.9823913574219,621900
2019-08-06 00:00:00-04:00,TZA,369.6037541654551,380.9993335526528,363.22510150759905,365.80523681640625,427425
2019-08-07 00:00:00-04:00,TZA,376.7707384631509,385.4428375927498,363.44005922456864,366.4502258300781,495763
2019-08-08 00:00:00-04:00,TZA,360.214927584693,361.3616513287012,342.15403545157636,342.8707275390625,431738
2019-08-09 00:00:00-04:00,TZA,346.2392481433293,359.9282751009535,346.0242186402951,356.201416015625,432125
2019-08-12 00:00:00-04:00,TZA,362.3650627062304,372.32723047345,359.78492741744384,370.0337829589844,320663
2019-08-13 00:00:00-04:00,TZA,372.47060010325436,377.129153727708,346.9559605663617,357.9931945800781,278325
2019-08-14 00:00:00-04:00,TZA,374.97899632817433,390.4597795769504,374.62065030677724,387.6646423339844,467488
2019-08-15 00:00:00-04:00,TZA,383.579448224609,398.34353984176965,383.579448224609,392.68157958984375,356000
2019-08-16 00:00:00-04:00,TZA,387.66466689465165,387.66466689465165,365.5902006254256,367.4536437988281,316825
2019-08-19 00:00:00-04:00,TZA,355.0546590252063,357.7781106350052,350.8977686628048,356.3447265625,224125
2019-08-20 00:00:00-04:00,TZA,357.7781250925213,364.5868090722492,357.3481207894131,363.7984313964844,204225
2019-08-21 00:00:00-04:00,TZA,352.8328763260983,358.924868104206,352.4745303015153,354.6246337890625,173638
2019-08-22 00:00:00-04:00,TZA,352.6895580291882,363.51178920086676,349.9661061727833,357.5631408691406,288638
2019-08-23 00:00:00-04:00,TZA,363.15338985239447,393.7566106328232,356.7747376519395,390.173095703125,551288
2019-08-26 00:00:00-04:00,TZA,378.7058752591913,388.02300901175784,377.1291198730469,377.1291198730469,311500
2019-08-27 00:00:00-04:00,TZA,370.3204227565703,395.4050274707038,369.8187328494916,394.1866455078125,430300
2019-08-28 00:00:00-04:00,TZA,396.83849979906677,399.41863533987487,373.9756806947792,380.6410217285156,399413
2019-08-29 00:00:00-04:00,TZA,368.38533327299996,369.6037151847434,359.49820451773945,360.71661376953125,312450
2019-08-30 00:00:00-04:00,TZA,355.5563857232662,368.88706676183244,354.9830101628734,362.7950744628906,287100
2019-09-03 00:00:00-04:00,TZA,373.3306233438291,383.79448141046254,367.0236287893978,378.9208984375,340075
2019-09-04 00:00:00-04:00,TZA,368.600382691977,375.05072111106784,365.8052451570549,369.4604187011719,188550
2019-09-05 00:00:00-04:00,TZA,355.0546853543973,358.49485659560446,339.6455593718593,349.60772705078125,384350
2019-09-06 00:00:00-04:00,TZA,348.81936534807056,354.91135774759385,345.16419178039814,354.3379821777344,271838
2019-09-09 00:00:00-04:00,TZA,349.75109444975266,353.2629515400255,337.9971684170887,340.4339599609375,511638
2019-09-10 00:00:00-04:00,TZA,341.9389816978201,347.24259572517747,326.7448863324931,327.4615783691406,563925
2019-09-11 00:00:00-04:00,TZA,323.1613577745539,329.25332184804495,306.24716396197715,307.5372314453125,880925
2019-09-12 00:00:00-04:00,TZA,306.3905438573184,315.63601946164266,302.01865102085264,307.2505798339844,718163
2019-09-13 00:00:00-04:00,TZA,302.4486893079719,306.605552736339,296.2133804953956,305.6021728515625,570288
2019-09-16 00:00:00-04:00,TZA,307.82394171310534,309.3290114404683,297.2883989414655,302.3769836425781,558263
2019-09-17 00:00:00-04:00,TZA,304.8854703492171,310.6190890238982,304.16875092735046,304.74212646484375,474788
2019-09-18 00:00:00-04:00,TZA,304.88546108930285,318.7178311006357,304.67043159924845,310.61907958984375,459325
2019-09-19 00:00:00-04:00,TZA,308.7556529842501,316.2810287106247,302.7353469351406,315.27764892578125,435113
2019-09-20 00:00:00-04:00,TZA,315.6360405552439,323.0180734733989,309.75907753184913,317.2844543457031,313988
